,Ether_dst,Ether_src,IP_id,IP_len,IP_ttl,TCP_dataofs,TCP_dport,TCP_seq,TCP_sport,TCP_window,load_len,IP_proto_icmp,IP_proto_igmp,IP_proto_tcp,IP_proto_udp,TCP_flags_A,TCP_flags_FA,TCP_flags_PA,TCP_flags_R,TCP_flags_RA,TCP_flags_S,TCP_flags_SA,label_src
0,e0:55:3d:02:41:21,84:38:35:5a:70:40,12886.0,154.0,64.0,8.0,334.0,3463304684.0,59554.0,9675.0,325.0,0,0,1,0,0,0,1,0,0,0,0,1
1,e0:55:3d:02:41:21,84:38:35:5a:70:40,45690.0,1436.0,64.0,8.0,334.0,3463304786.0,59554.0,9675.0,4041.0,0,0,1,0,1,0,0,0,0,0,0,1
2,e0:55:3d:02:41:21,84:38:35:5a:70:40,55125.0,797.0,64.0,8.0,334.0,3463306170.0,59554.0,9675.0,2236.0,0,0,1,0,0,0,1,0,0,0,0,1
5,e0:55:3d:02:41:21,84:38:35:5a:70:40,52053.0,98.0,64.0,8.0,334.0,3235869591.0,59611.0,4096.0,140.0,0,0,1,0,0,0,1,0,0,0,0,1
8,e0:55:3d:02:41:21,28:f0:76:31:d3:58,44006.0,40.0,64.0,5.0,334.0,1747378280.0,65474.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
9,e0:55:3d:02:41:21,84:38:35:5a:70:40,47455.0,52.0,64.0,8.0,334.0,2830014835.0,58270.0,4096.0,,0,0,1,0,0,1,0,0,0,0,0,1
12,e0:55:3d:02:41:21,84:38:35:5a:70:40,61720.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9671.0,,0,0,1,0,1,0,0,0,0,0,0,1
14,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,280.0,64.0,8.0,4070.0,651047549.0,61502.0,4096.0,633.0,0,0,1,0,0,0,1,0,0,0,0,1
15,e0:55:3d:02:41:21,28:f0:76:31:d3:58,18294.0,51.0,64.0,,,,,,67.0,0,0,0,1,0,0,0,0,0,0,0,1
17,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,52.0,64.0,8.0,4070.0,651047777.0,61502.0,4087.0,,0,0,1,0,1,0,0,0,0,0,0,1
25,e0:55:3d:02:41:21,84:38:35:5a:70:40,17510.0,40.0,64.0,5.0,8080.0,3459936695.0,59534.0,8188.0,,0,0,1,0,1,0,0,0,0,0,0,1
26,e0:55:3d:02:41:21,84:38:35:5a:70:40,21708.0,40.0,64.0,5.0,8080.0,1697762238.0,59525.0,8192.0,,0,0,1,0,1,0,0,0,0,0,0,1
27,e0:55:3d:02:41:21,84:38:35:5a:70:40,46163.0,40.0,64.0,5.0,8080.0,3052259844.0,59535.0,8188.0,,0,0,1,0,1,0,0,0,0,0,0,1
28,e0:55:3d:02:41:21,84:38:35:5a:70:40,13885.0,40.0,64.0,5.0,8080.0,2562001112.0,59532.0,8188.0,,0,0,1,0,1,0,0,0,0,0,0,1
29,e0:55:3d:02:41:21,84:38:35:5a:70:40,63918.0,40.0,64.0,5.0,8080.0,1883479581.0,59536.0,8188.0,,0,0,1,0,1,0,0,0,0,0,0,1
30,e0:55:3d:02:41:21,84:38:35:5a:70:40,58884.0,40.0,64.0,5.0,8080.0,2881453634.0,59533.0,8188.0,,0,0,1,0,1,0,0,0,0,0,0,1
32,01:00:5e:00:00:fb,40:cb:c0:bc:36:7e,62871.0,772.0,255.0,,,,,,,0,0,0,1,0,0,0,0,0,0,0,2
35,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,37228.0,81.0,64.0,5.0,334.0,2425089119.0,47366.0,1780.0,123.0,0,0,1,0,0,0,1,0,0,0,0,3
37,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,37229.0,40.0,64.0,5.0,334.0,2425089160.0,47366.0,1780.0,,0,0,1,0,1,0,0,0,0,0,0,3
39,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,64719.0,85.0,64.0,8.0,334.0,1527584974.0,41898.0,1776.0,104.0,0,0,1,0,0,0,1,0,0,0,0,3
70,e0:55:3d:02:41:21,84:38:35:5a:70:40,16825.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9632.0,,0,0,1,0,1,0,0,0,0,0,0,1
71,e0:55:3d:02:41:21,84:38:35:5a:70:40,47763.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9631.0,,0,0,1,0,1,0,0,0,0,0,0,1
72,e0:55:3d:02:41:21,84:38:35:5a:70:40,6154.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9544.0,,0,0,1,0,1,0,0,0,0,0,0,1
74,e0:55:3d:02:41:21,84:38:35:5a:70:40,51189.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9675.0,,0,0,1,0,1,0,0,0,0,0,0,1
75,e0:55:3d:02:41:21,84:38:35:5a:70:40,7821.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9674.0,,0,0,1,0,1,0,0,0,0,0,0,1
76,e0:55:3d:02:41:21,84:38:35:5a:70:40,58399.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9588.0,,0,0,1,0,1,0,0,0,0,0,0,1
77,e0:55:3d:02:41:21,84:38:35:5a:70:40,39448.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9516.0,,0,0,1,0,1,0,0,0,0,0,0,1
78,e0:55:3d:02:41:21,84:38:35:5a:70:40,45263.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9675.0,,0,0,1,0,1,0,0,0,0,0,0,1
80,e0:55:3d:02:41:21,84:38:35:5a:70:40,44676.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9631.0,,0,0,1,0,1,0,0,0,0,0,0,1
81,e0:55:3d:02:41:21,84:38:35:5a:70:40,1631.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9543.0,,0,0,1,0,1,0,0,0,0,0,0,1
82,e0:55:3d:02:41:21,84:38:35:5a:70:40,18757.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9541.0,,0,0,1,0,1,0,0,0,0,0,0,1
83,e0:55:3d:02:41:21,84:38:35:5a:70:40,47000.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9454.0,,0,0,1,0,1,0,0,0,0,0,0,1
84,e0:55:3d:02:41:21,84:38:35:5a:70:40,23901.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9433.0,,0,0,1,0,1,0,0,0,0,0,0,1
85,e0:55:3d:02:41:21,84:38:35:5a:70:40,21478.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9675.0,,0,0,1,0,1,0,0,0,0,0,0,1
86,e0:55:3d:02:41:21,84:38:35:5a:70:40,43695.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9588.0,,0,0,1,0,1,0,0,0,0,0,0,1
87,e0:55:3d:02:41:21,84:38:35:5a:70:40,13651.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9436.0,,0,0,1,0,1,0,0,0,0,0,0,1
88,e0:55:3d:02:41:21,84:38:35:5a:70:40,31371.0,52.0,64.0,8.0,334.0,3463306915.0,59554.0,9675.0,,0,0,1,0,1,0,0,0,0,0,0,1
89,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,64720.0,52.0,64.0,8.0,334.0,1527585007.0,41898.0,1776.0,,0,0,1,0,1,0,0,0,0,0,0,3
95,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,31986.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
96,e0:55:3d:02:41:21,84:38:35:5a:70:40,21774.0,181.0,64.0,8.0,334.0,3463306915.0,59554.0,9675.0,393.0,0,0,1,0,0,0,1,0,0,0,0,1
98,e0:55:3d:02:41:21,84:38:35:5a:70:40,6085.0,1395.0,64.0,8.0,334.0,3463307044.0,59554.0,9675.0,3817.0,0,0,1,0,0,0,1,0,0,0,0,1
99,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,31987.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
101,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,31988.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
103,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,31989.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
107,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,31990.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
109,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,5096.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
110,e0:55:3d:02:41:21,28:f0:76:31:d3:58,3046.0,40.0,64.0,5.0,334.0,2543234825.0,62476.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
