Description,MAC address,Manufacturer,Device Type
Daghan deskphone,00:18:0a:12:2f:2d,Meraki,Phone
Nest,18:b4:30:0d:87:18,Nest,Thermostat
iPhone,18:f6:43:57:fc:8f,Apple,IPhone
Daghan-Home,28:f0:76:31:d3:58,Apple,Computer
DaghanspleWatch,30:63:6b:65:e4:04,Apple,Watch
daghan-macbook-8,34:36:3b:7f:3f:a0,Apple,Computer
Daghan-Home,38:c9:86:40:7c:a6,Apple,Computer
Apple-TV-3,40:cb:c0:bc:36:7c,Apple,TV
Apple-TV-3,40:cb:c0:bc:36:7e,Apple,TV
44:65:0d:66:72:60,44:65:0d:66:72:60,Amazon,Echo
Amazon Tap,44:65:0d:90:60:3a,Amazon,Echo
engin-iPhoneu,48:74:6e:b0:09:d4,Apple,iPhone
Apple-TV,50:32:37:a3:4d:38,Apple,iPhone
sonos5CAAFD4C87A0,5c:aa:fd:4c:87:a0,Sonos,Speaker
SonosZP,5c:aa:fd:4c:92:86,Sonos,Speaker
Samsung,64:1c:b0:7b:f4:10,Samsung,Phone
64:b5:c6:b7:60:43,64:b5:c6:b7:60:43,Nintendo,Switch
sonos7828CA03800C,78:28:ca:03:80:0c,Sonos,Speaker
SonosZP,78:28:ca:32:4b:28,Sonos,Speaker
Agnethas-MacBook-Air,84:38:35:5a:70:40,Apple,Computer
Android,88:71:e5:d2:73:4b,Amazon,Echo
Daghan-Altas-MBP,88:e9:fe:4c:5e:4f,Apple,Computer
Pnar-Altas,98:b8:e3:cc:55:e8,Apple,iPad
Android,b4:7c:9c:31:b4:df,Amazon,Echo
sonosB8E9378CDA3C,b8:e9:37:8c:da:3c,Sonos,Speaker
Daghans-iPhone,cc:08:8d:4c:eb:08,Apple,iPhone
Apple-TV-3,d0:4f:7e:06:25:ad,Apple,TV
iPhone,d8:8f:76:bb:35:97,Apple,IPhone
localhost,e4:7d:bd:3f:96:ec,Samsung,Phone
WeMo,ec:1a:59:f6:eb:45,Belkin,Wemo switch 
