,Ether_dst,Ether_src,IP_id,IP_len,IP_proto,IP_ttl,TCP_dataofs,TCP_dport,TCP_flags,TCP_seq,TCP_sport,TCP_window,load_len
0,e0:55:3d:02:41:21,84:38:35:5a:70:40,12886.0,154.0,tcp,64.0,8.0,334.0,PA,3463304684.0,59554.0,9675.0,325.0
1,e0:55:3d:02:41:21,84:38:35:5a:70:40,45690.0,1436.0,tcp,64.0,8.0,334.0,A,3463304786.0,59554.0,9675.0,4041.0
2,e0:55:3d:02:41:21,84:38:35:5a:70:40,55125.0,797.0,tcp,64.0,8.0,334.0,PA,3463306170.0,59554.0,9675.0,2236.0
3,84:38:35:5a:70:40,e0:55:3d:02:41:21,36982.0,52.0,tcp,57.0,8.0,59554.0,A,740824593.0,334.0,338.0,
4,84:38:35:5a:70:40,e0:55:3d:02:41:21,28638.0,52.0,tcp,58.0,8.0,59611.0,A,396759928.0,334.0,275.0,
5,e0:55:3d:02:41:21,84:38:35:5a:70:40,52053.0,98.0,tcp,64.0,8.0,334.0,PA,3235869591.0,59611.0,4096.0,140.0
6,84:38:35:5a:70:40,e0:55:3d:02:41:21,28645.0,64.0,tcp,58.0,11.0,59611.0,A,396759928.0,334.0,275.0,
7,84:38:35:5a:70:40,e0:55:3d:02:41:21,36983.0,52.0,tcp,57.0,8.0,59554.0,A,740824593.0,334.0,338.0,
8,e0:55:3d:02:41:21,28:f0:76:31:d3:58,44006.0,40.0,tcp,64.0,5.0,334.0,A,1747378280.0,65474.0,4096.0,
9,e0:55:3d:02:41:21,84:38:35:5a:70:40,47455.0,52.0,tcp,64.0,8.0,334.0,FA,2830014835.0,58270.0,4096.0,
10,28:f0:76:31:d3:58,e0:55:3d:02:41:21,31751.0,52.0,tcp,58.0,8.0,65474.0,A,1204039566.0,334.0,811.0,
11,84:38:35:5a:70:40,e0:55:3d:02:41:21,36984.0,160.0,tcp,57.0,8.0,59554.0,PA,740824593.0,334.0,338.0,304.0
12,e0:55:3d:02:41:21,84:38:35:5a:70:40,61720.0,52.0,tcp,64.0,8.0,334.0,A,3463306915.0,59554.0,9671.0,
13,84:38:35:5a:70:40,e0:55:3d:02:41:21,53975.0,40.0,tcp,44.0,5.0,59524.0,A,4087611576.0,8080.0,67.0,
14,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,280.0,tcp,64.0,8.0,4070.0,PA,651047549.0,61502.0,4096.0,633.0
15,e0:55:3d:02:41:21,28:f0:76:31:d3:58,18294.0,51.0,udp,64.0,,,,,,,67.0
16,28:f0:76:31:d3:58,e0:55:3d:02:41:21,16848.0,339.0,tcp,53.0,8.0,61502.0,PA,1443267231.0,4070.0,42.0,850.0
17,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,52.0,tcp,64.0,8.0,4070.0,A,651047777.0,61502.0,4087.0,
18,88:71:e5:d2:73:4b,e0:55:3d:02:41:21,,,,,,,,,,,
19,78:28:ca:03:80:0c,e0:55:3d:02:41:21,,,,,,,,,,,
20,84:38:35:5a:70:40,e0:55:3d:02:41:21,,,,,,,,,,,
21,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,,,,,,,,,,,
22,e0:55:3d:02:41:21,78:28:ca:03:80:0c,,,,,,,,,,,
23,e0:55:3d:02:41:21,84:38:35:5a:70:40,,,,,,,,,,,
24,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,64.0,udp,42.0,,,,,,,105.0
25,e0:55:3d:02:41:21,84:38:35:5a:70:40,17510.0,40.0,tcp,64.0,5.0,8080.0,A,3459936695.0,59534.0,8188.0,
26,e0:55:3d:02:41:21,84:38:35:5a:70:40,21708.0,40.0,tcp,64.0,5.0,8080.0,A,1697762238.0,59525.0,8192.0,
27,e0:55:3d:02:41:21,84:38:35:5a:70:40,46163.0,40.0,tcp,64.0,5.0,8080.0,A,3052259844.0,59535.0,8188.0,
28,e0:55:3d:02:41:21,84:38:35:5a:70:40,13885.0,40.0,tcp,64.0,5.0,8080.0,A,2562001112.0,59532.0,8188.0,
29,e0:55:3d:02:41:21,84:38:35:5a:70:40,63918.0,40.0,tcp,64.0,5.0,8080.0,A,1883479581.0,59536.0,8188.0,
30,e0:55:3d:02:41:21,84:38:35:5a:70:40,58884.0,40.0,tcp,64.0,5.0,8080.0,A,2881453634.0,59533.0,8188.0,
31,33:33:00:00:00:02,40:cb:c0:bc:36:7e,,,,,,,,,,,
32,01:00:5e:00:00:fb,40:cb:c0:bc:36:7e,62871.0,772.0,udp,255.0,,,,,,,
33,01:00:5e:00:00:fb,e0:55:3d:02:41:21,62871.0,772.0,udp,255.0,,,,,,,
34,33:33:00:00:00:fb,40:cb:c0:bc:36:7e,,,,,,,,,,,
35,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,37228.0,81.0,tcp,64.0,5.0,334.0,PA,2425089119.0,47366.0,1780.0,123.0
36,88:71:e5:d2:73:4b,e0:55:3d:02:41:21,13652.0,81.0,tcp,221.0,5.0,47366.0,PA,1222567902.0,334.0,1152.0,115.0
37,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,37229.0,40.0,tcp,64.0,5.0,334.0,A,2425089160.0,47366.0,1780.0,
38,84:38:35:5a:70:40,e0:55:3d:02:41:21,3573.0,40.0,tcp,44.0,5.0,59534.0,A,1911570417.0,8080.0,66.0,
39,e0:55:3d:02:41:21,88:71:e5:d2:73:4b,64719.0,85.0,tcp,64.0,8.0,334.0,PA,1527584974.0,41898.0,1776.0,104.0
40,84:38:35:5a:70:40,e0:55:3d:02:41:21,32836.0,40.0,tcp,44.0,5.0,59525.0,A,3683631268.0,8080.0,69.0,
41,84:38:35:5a:70:40,e0:55:3d:02:41:21,9698.0,40.0,tcp,44.0,5.0,59532.0,A,2453346324.0,8080.0,66.0,
42,84:38:35:5a:70:40,e0:55:3d:02:41:21,36985.0,1436.0,tcp,57.0,8.0,59554.0,A,740824701.0,334.0,338.0,3996.0
43,84:38:35:5a:70:40,e0:55:3d:02:41:21,36986.0,1436.0,tcp,57.0,8.0,59554.0,A,740826085.0,334.0,338.0,3958.0
44,84:38:35:5a:70:40,e0:55:3d:02:41:21,36987.0,72.0,tcp,57.0,8.0,59554.0,PA,740827469.0,334.0,338.0,63.0
45,84:38:35:5a:70:40,e0:55:3d:02:41:21,36988.0,1436.0,tcp,57.0,8.0,59554.0,A,740827489.0,334.0,338.0,3903.0
46,84:38:35:5a:70:40,e0:55:3d:02:41:21,36989.0,1436.0,tcp,57.0,8.0,59554.0,A,740828873.0,334.0,338.0,4008.0
47,84:38:35:5a:70:40,e0:55:3d:02:41:21,36990.0,72.0,tcp,57.0,8.0,59554.0,PA,740830257.0,334.0,338.0,60.0
48,84:38:35:5a:70:40,e0:55:3d:02:41:21,36991.0,1436.0,tcp,57.0,8.0,59554.0,A,740830277.0,334.0,338.0,4025.0
49,84:38:35:5a:70:40,e0:55:3d:02:41:21,36992.0,1436.0,tcp,57.0,8.0,59554.0,A,740831661.0,334.0,338.0,4006.0
50,84:38:35:5a:70:40,e0:55:3d:02:41:21,36993.0,1436.0,tcp,57.0,8.0,59554.0,A,740833045.0,334.0,338.0,3970.0
51,84:38:35:5a:70:40,e0:55:3d:02:41:21,36994.0,947.0,tcp,57.0,8.0,59554.0,PA,740834429.0,334.0,338.0,2591.0
52,84:38:35:5a:70:40,e0:55:3d:02:41:21,36995.0,1436.0,tcp,57.0,8.0,59554.0,A,740835324.0,334.0,338.0,3993.0
53,84:38:35:5a:70:40,e0:55:3d:02:41:21,36996.0,1436.0,tcp,57.0,8.0,59554.0,A,740836708.0,334.0,338.0,3948.0
54,84:38:35:5a:70:40,e0:55:3d:02:41:21,36997.0,72.0,tcp,57.0,8.0,59554.0,PA,740838092.0,334.0,338.0,54.0
55,84:38:35:5a:70:40,e0:55:3d:02:41:21,36998.0,1436.0,tcp,57.0,8.0,59554.0,A,740838112.0,334.0,338.0,3901.0
56,84:38:35:5a:70:40,e0:55:3d:02:41:21,36999.0,1436.0,tcp,57.0,8.0,59554.0,A,740839496.0,334.0,338.0,3914.0
57,84:38:35:5a:70:40,e0:55:3d:02:41:21,37000.0,110.0,tcp,57.0,8.0,59554.0,PA,740840880.0,334.0,338.0,157.0
58,84:38:35:5a:70:40,e0:55:3d:02:41:21,37001.0,90.0,tcp,57.0,8.0,59554.0,PA,740840938.0,334.0,338.0,108.0
59,84:38:35:5a:70:40,e0:55:3d:02:41:21,37002.0,1436.0,tcp,57.0,8.0,59554.0,A,740840976.0,334.0,338.0,3970.0
60,84:38:35:5a:70:40,e0:55:3d:02:41:21,37003.0,1436.0,tcp,57.0,8.0,59554.0,A,740842360.0,334.0,338.0,3895.0
61,84:38:35:5a:70:40,e0:55:3d:02:41:21,37004.0,72.0,tcp,57.0,8.0,59554.0,PA,740843744.0,334.0,338.0,54.0
62,84:38:35:5a:70:40,e0:55:3d:02:41:21,37005.0,746.0,tcp,57.0,8.0,59554.0,PA,740843764.0,334.0,338.0,1994.0
63,84:38:35:5a:70:40,e0:55:3d:02:41:21,37006.0,1436.0,tcp,57.0,8.0,59554.0,A,740844458.0,334.0,338.0,3938.0
64,84:38:35:5a:70:40,e0:55:3d:02:41:21,37007.0,1436.0,tcp,57.0,8.0,59554.0,A,740845842.0,334.0,338.0,3952.0
65,84:38:35:5a:70:40,e0:55:3d:02:41:21,37008.0,72.0,tcp,57.0,8.0,59554.0,PA,740847226.0,334.0,338.0,58.0
66,84:38:35:5a:70:40,e0:55:3d:02:41:21,37009.0,1436.0,tcp,57.0,8.0,59554.0,A,740847246.0,334.0,338.0,3959.0
67,84:38:35:5a:70:40,e0:55:3d:02:41:21,37010.0,1436.0,tcp,57.0,8.0,59554.0,A,740848630.0,334.0,338.0,3925.0
68,84:38:35:5a:70:40,e0:55:3d:02:41:21,37011.0,1436.0,tcp,57.0,8.0,59554.0,A,740850014.0,334.0,338.0,3891.0
69,84:38:35:5a:70:40,e0:55:3d:02:41:21,37012.0,768.0,tcp,57.0,8.0,59554.0,PA,740851398.0,334.0,338.0,2082.0
70,e0:55:3d:02:41:21,84:38:35:5a:70:40,16825.0,52.0,tcp,64.0,8.0,334.0,A,3463306915.0,59554.0,9632.0,
71,e0:55:3d:02:41:21,84:38:35:5a:70:40,47763.0,52.0,tcp,64.0,8.0,334.0,A,3463306915.0,59554.0,9631.0,
72,e0:55:3d:02:41:21,84:38:35:5a:70:40,6154.0,52.0,tcp,64.0,8.0,334.0,A,3463306915.0,59554.0,9544.0,
